,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
152,1990-06-02,,147.77742857142857,11.90857142857142,23.77999999999999,99.09142857142857,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-02 Illinois DuPage
153,1990-06-03,,157.01408045977018,12.951149425287342,23.574712643678158,98.23563218390812,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-03 Illinois DuPage
154,1990-06-04,,166.1534682080923,11.79190751445086,23.485549132947977,97.88439306358384,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-04 Illinois DuPage
155,1990-06-05,,150.78056338028154,11.563380281690147,23.239436619718308,96.85633802816902,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-05 Illinois DuPage
156,1990-06-06,,152.6848484848484,12.286501377410469,23.0578512396694,96.0881542699724,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-06 Illinois DuPage
157,1990-06-07,,156.4922005571032,11.869080779944287,23.35376044568245,97.32869080779945,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-07 Illinois DuPage
158,1990-06-08,,153.27154696132587,11.06077348066299,23.29834254143646,97.1049723756906,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-08 Illinois DuPage
159,1990-06-09,,148.92812499999988,11.20454545454546,23.914772727272727,99.65340909090904,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-09 Illinois DuPage
160,1990-06-10,,154.36285714285722,12.837142857142863,23.782857142857136,99.09714285714288,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-10 Illinois DuPage
161,1990-06-11,,157.26112676056326,11.735211267605637,23.63380281690143,98.48450704225355,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-11 Illinois DuPage
162,1990-06-12,,144.65238095238098,11.557422969187682,23.34453781512604,97.28851540616247,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-12 Illinois DuPage
163,1990-06-13,,139.86056338028166,12.11267605633803,23.459154929577448,97.769014084507,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-13 Illinois DuPage
164,1990-06-14,,151.99860724234,11.434540389972144,23.58495821727021,98.30640668523677,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-14 Illinois DuPage
165,1990-06-15,,149.89501385041552,11.457063711911358,23.58448753462604,98.29362880886428,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-15 Illinois DuPage
